item_title,image_url,link
David Yelland (journalist),"David Yelland (born 14 May 1963) is a British writer, a former journalist and editor of The Sun and a partner at Brunswick Group LLP, a global financial public relations and communications company in London. He regularly appears on radio and television.",http://en.wikipedia.org/wiki/David_Yelland_(journalist)
Dean Constable,"Dean Constable (born January 11, 1980 in Charlottetown, Prince Edward Island) was the leader of the New Democratic Party of Prince Edward Island from 2006 to 2007. He replaced the late Gary Robichaud as leader. Constable previously was the theatre stage manager for the Charlottetown Festival.",http://en.wikipedia.org/wiki/Dean_Constable
Denis Brodeur,"Denis Joseph Germain Stanislaus Brodeur (October 12, 1930 – September 26, 2013) was a Canadian photographer, acknowledged as one of hockey's finest photographers and was the father of New Jersey Devils goaltender Martin Brodeur, the National Hockey League's winningest goaltender.",http://en.wikipedia.org/wiki/Denis_Brodeur
Dennis Constable,"Dennis Constable (born 14 August 1925) is a former English cricketer. Constable was a right-handed batsman who fielded as a wicket-keeper. He was born at East Molesey, Surrey.The younger brother of Surrey cricketer Bernie Constable, Dennis made two first-class appearances for Northamptonshire in 1949 against Leicestershire and the touring New Zealanders, both at the County Ground, Northampton.",http://en.wikipedia.org/wiki/Dennis_Constable
Dimitrios Christopoulos,Dimitrios Christopoulos (Greek: Δημήτριος Χριστόπουλος) was a Greek athlete. He competed at the 1896 Summer Olympics in Athens.Christopoulos was one of 17 athletes to start the marathon race. He was one of the seven runners that dropped out of the race.,http://en.wikipedia.org/wiki/Dimitrios_Christopoulos
Don Gummer,"Don Gummer (born December 12, 1946) is an American sculptor. His early work concentrated on table-top and wall-mounted sculpture, but in the mid-1980s he shifted his interest to large free-standing works, often in bronze. In the 1990s he added a variety of other materials, such as stainless steel, aluminum and stained glass. His interest in large outdoor works also led him to an interest in public art.",http://en.wikipedia.org/wiki/Don_Gummer
Dorothy Gaiter and John Brecher,"Dorothy J. Gaiter and John Brecher are American journalists, authors and wine critics, wife and husband who jointly wrote a wine column in The Wall Street Journal titled ""Tastings"" between 1998-2009. They rated wines on a scale that ranges from ""Yech"", ""OK"", ""Good"", ""Very Good"", ""Delicious"" to ""Delicious!"". Their careers began simultaneously and have remained connected since their first meeting in the newsroom of The Miami Herald in 1973.",http://en.wikipedia.org/wiki/Dorothy_Gaiter_and_John_Brecher
Doughboy (comics),Doughboy is a fictional character in Marvel Comics.,http://en.wikipedia.org/wiki/Doughboy_(comics)
Eamon Heery,Eamon Heery is a former Gaelic footballer with Dublin. He was awarded an all star for his performance with Dublin in 1992. He won an All-Ireland Minor Football Championship medal with Dublin in 1982.,http://en.wikipedia.org/wiki/Eamon_Heery
Edison Giménez,"Mario Edison Giménez (born 5 April 1981 in Pedro Juan Caballero) is a Paraguayan footballer that currently plays for Colombian Primera A side Itagüí as striker.He began his football career at 2 de Mayo of the first tier of his country, in where scored 25 goals in 31 appearances during two seasons. In January 2007, was sold to Chilean Primera División club Colo-Colo, for a US$400.000 transfer fee.",http://en.wikipedia.org/wiki/Edison_Giménez
Edmond Brodeur,"Joseph Edmond Brodeur (July 5, 1898 in St. Hyacinthe, Quebec[citation needed] – May 19, 1988) was a politician in Manitoba, Canada. He served in the Legislative Assembly of Manitoba as a Liberal-Progressive from 1952 to 1958.Brodeur was educated at St. Boniface College. He was a member of the Knights of Columbus, reaching the fourth degree by the mid-1950s.[citation needed] He was secretary-treasurer for the Rural Municipality of Ritchot.",http://en.wikipedia.org/wiki/Edmond_Brodeur
Eduardo Fellner,"Eduardo Alfredo Fellner (born June 16, 1954) is an Argentine Justicialist Party (PJ) politician, currently President of the Argentine Chamber of Deputies and until 2007 governor of Jujuy Province.",http://en.wikipedia.org/wiki/Eduardo_Fellner
"Edward Black, Sr.","Edward Black, Sr. was an American Republican Party politician from New Jersey, who served on the Monmouth County, New Jersey Board of Chosen Freeholders.Born about 1800, Edward Black operated a farm of over 100 acres (0.40 km2) on the west side of Matawan Creek. He was a member of the Presbyterian Church.When Matavan Township was incorporated in 1857, he was elected as the township's first tax assessor, and served three years, leaving office in March 1860.","http://en.wikipedia.org/wiki/Edward_Black,_Sr."
Edward Black (minister),"For other uses, see Edward BlackEdward Black (December 10, 1793 – May 7, 1845) was a minister and teacher in Canada associated with the Church of Scotland.Edward was born in Penninghame, Scotland and received his education at local schools and, latterly, at the University of Edinburgh. He began to preach as an assistant to his father in 1815 and moved to Canada with his wife after his father's death in 1822.",http://en.wikipedia.org/wiki/Edward_Black_(minister)
Edward Black (producer),"For other people of this name, see Edward Black.Edward Black (18 August 1900, Birmingham - 30 November 1948, London) was an English film producer.",http://en.wikipedia.org/wiki/Edward_Black_(producer)
"Aalsum, Friesland","Aalsum (unofficial Frisian name: Ealsum) is a small village counting some 162 inhabitants (January 2004) about 1 km north of Dokkum in Dongeradeel, Netherlands. Aalsum is built on a partially excavated terp, around a church originally dedicated to St.","http://en.wikipedia.org/wiki/Aalsum,_Friesland"
"Aalsum, Groningen","Aalsum is a small hamlet in the Dutch province of Groningen. It is located in the municipality of Zuidhorn, about 1.5 km west of Oldehove.The hamlet was located on a wierde, an artificial dwelling hill. The hill was partially excavated in the 20th century; a bow from the ninth century was found. Plans to reconstruct the hill were canceled.According to the 19th-century historian A.J.","http://en.wikipedia.org/wiki/Aalsum,_Groningen"
Acq,This article is about a commune in northern France. For information about the chemical compound ACQ see Alkaline Copper Quaternary.Acq is a commune in the Pas-de-Calais department in northern France.,http://en.wikipedia.org/wiki/Acq
Agen La Garenne Airport,"Agen La Garenne Airport or Aérodrome d'Agen - La Garenne (IATA: AGF, ICAO: LFBA) is an airport located in Le Passage and 3 km southwest of Agen, both communes of the Lot-et-Garonne département in the Aquitaine région of France.",http://en.wikipedia.org/wiki/Agen_La_Garenne_Airport
